model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
resnet_features_1d,CWRU,FFT,0,"[[0, 3], [1]]",0.6940 ,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 3], [2]]",0.6931,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[1, 2], [0]]",0.6843,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[1, 2], [3]]",0.6922,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[2, 3], [0]]",0.6859,1,0,1,0.0723,0.9923
resnet_features_1d,CWRU,FFT,0,"[[2, 3], [1]]",0.6918,1,0,1,0.0278,0.9903
resnet_features_1d,CWRU,FFT,0,"[[0, 1, 2], [3]]",0.6885,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 2, 3], [1]]",0.6903,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[1, 2, 3], [0]]",0.6842,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 1, 3], [2]]",0.6886,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 1], [2, 3]]",0.6927,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 2], [1, 3]]",0.6930 ,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 3], [1, 2]]",0.6928,1,0,1,0.0052,0.9984
resnet_features_1d,CWRU,FFT,0,"[[1, 2], [0, 3]]",0.6921,1,0,1,0.0025,0.9982
resnet_features_1d,CWRU,FFT,0,"[[1, 3], [0, 2]]",0.6919,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[2, 3], [0, 1]]",0.6924,1,0,1,0.1146,0.9772
resnet_features_1d,CWRU,FFT,0,"[[1, 3], [0, 2]]",0.6926,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[1, 2], [0, 3]]",0.6920 ,1,0,1,0.0021,0.9982
resnet_features_1d,CWRU,FFT,0,"[[0, 3], [1, 2]]",0.6937,1,0,1,0,1
resnet_features_1d,CWRU,FFT,0,"[[0, 2], [1, 3]]",0.6927,1,0,1,0.0043,0.9984
resnet_features_1d,CWRU,FFT,0,"[[0, 1], [2, 3]]",0.6934,1,0,1,0,1
resnet_features_1d,PHM,TimeSeries,0,"[[0], [1]]",0.6951,1,1.1153,0.7179,4.6935,0.4679
resnet_features_1d,PHM,TimeSeries,0,"[[0], [2]]",0.6914,1,1.7615,0.7276,4.4952,0.4455
resnet_features_1d,PHM,TimeSeries,0,"[[0], [3]]",0.6939,1,2.1210 ,0.6827,6.7822,0.3974
resnet_features_1d,PHM,TimeSeries,0,"[[1], [0]]",0.6950 ,1,2.9451,0.5865,5.2842,0.4167
resnet_features_1d,PHM,TimeSeries,0,"[[1], [2]]",0.6926,1,2.3388,0.6442,2.9462,0.5962
resnet_features_1d,PHM,TimeSeries,0,"[[1], [3]]",0.6945,1,2.4802,0.6026,5.3240 ,0.4647
resnet_features_1d,PHM,TimeSeries,0,"[[2], [0]]",0.6955,1,3.6225,0.5256,6.7776,0.4071
resnet_features_1d,PHM,TimeSeries,0,"[[2], [1]]",0.6960 ,1,2.8878,0.5737,3.2198,0.5321
resnet_features_1d,PHM,TimeSeries,0,"[[2], [3]]",0.6940 ,1,2.8605,0.6378,3.7722,0.5641
resnet_features_1d,PHM,TimeSeries,0,"[[3], [0]]",0.6948,1,2.9273,0.5865,7.8434,0.3429
